Klasse,Anzahl,Aktivität,'Material',Durchmesser [mm],Einzeldauer [s],Dauer [min],Dauer [h]
Nullpunkt,1,Messen,Verschlissene Sägebänder,26.8,600,10,0.2
Neu,1,Band wechseln,Neues Sägeband,-,600,10,0.2
Neu,1,Messen,Neues Sägeband,-> todo,600,10,0.2
Einlauf,10,Schnitt,Aluminium,60,50,0,0.0
Einlauf,1,Messen,Eingelaufenes Trainingsband,-> todo,600,10,0.2
1,150,Schnitt,Aluminium,30,35,87,1.5
1,1,Messen,Trainingsband,-> todo,600,10,0.2
1,150,Schnitt,Aluminium,60,50,125,2.1
1,1,Messen,Trainingsband,-> todo,600,10,0.2
1,150,Schnitt,Edelstahl,60,35,87,1.5
1,1,Messen,Trainingsband,-> todo,600,10,0.2
1,1,Schnitt,Stein,-> tbd,90,1,0.0
1,1,Messen,Trainingsband,-> todo,600,10,0.2
2,150,Schnitt,Aluminium,30,35,87,1.5
2,1,Messen,Trainingsband,-> todo,600,10,0.2
2,150,Schnitt,Aluminium,60,50,125,2.1
2,1,Messen,Trainingsband,-> todo,600,10,0.2
2,150,Schnitt,Edelstahl,60,35,87,1.5
2,1,Messen,Trainingsband,-> todo,600,10,0.2
2,1,Schnitt,Stein,-> tbd,90,1,0.0
2,1,Messen,Trainingsband,-> todo,600,10,0.2
3,150,Schnitt,Aluminium,30,35,87,1.5
3,1,Messen,Trainingsband,-> todo,600,10,0.2
3,150,Schnitt,Aluminium,60,50,125,2.1
3,1,Messen,Trainingsband,-> todo,600,10,0.2
3,150,Schnitt,Edelstahl,60,35,87,1.5
3,1,Messen,Trainingsband,-> todo,600,10,0.2
3,1,Schnitt,Stein,-> tbd,90,1,0.0
3,1,Messen,Trainingsband,-> todo,600,10,0.2
4,150,Schnitt,Aluminium,30,35,87,1.5
4,1,Messen,Trainingsband,-> todo,600,10,0.2
4,150,Schnitt,Aluminium,60,50,125,2.1
4,1,Messen,Trainingsband,-> todo,600,10,0.2
4,150,Schnitt,Edelstahl,60,35,87,1.5
4,1,Messen,Trainingsband,-> todo,600,10,0.2
4,1,Schnitt,Stein,-> tbd,90,1,0.0
4,1,Messen,Trainingsband,-> todo,600,10,0.2
5,150,Schnitt,Aluminium,30,35,87,1.5
5,1,Messen,Trainingsband,-> todo,600,10,0.2
5,150,Schnitt,Aluminium,60,50,125,2.1
5,1,Messen,Trainingsband,-> todo,600,10,0.2
5,150,Schnitt,Edelstahl,60,35,87,1.5
5,1,Messen,Trainingsband,-> todo,600,10,0.2
5,1,Schnitt,Stein,-> tbd,90,1,0.0
5,1,Messen,Trainingsband,-> todo,600,10,0.2
Neu,1,Messen,Neues Sägeband,-> todo,600,10,0.2
Neu,1,Band wechseln,Neues Sägeband,-,600,10,0.2
Einlauf,10,Schnitt,Aluminium,60,50,0,0.0
Einlauf,1,Messen,Eingelaufenes Testband,-> todo,600,10,0.2
1,20,Schnitt,Aluminium,30,35,11,0.2
1,1,Messen,Trainingsband,-> todo,600,10,0.2
1,20,Schnitt,Aluminium,60,50,16,0.3
1,1,Messen,Trainingsband,-> todo,600,10,0.2
1,20,Schnitt,Edelstahl,60,35,11,0.2
1,1,Messen,Testsband,-> todo,600,10,0.2
1,1,Schnitt,Stein,-> tbd,90,1,0.0
1,1,Messen,Testsband,-> todo,600,10,0.2
2,20,Schnitt,Aluminium,30,35,11,0.2
2,1,Messen,Trainingsband,-> todo,600,10,0.2
2,20,Schnitt,Aluminium,60,50,16,0.3
2,1,Messen,Trainingsband,-> todo,600,10,0.2
2,20,Schnitt,Edelstahl,60,35,11,0.2
2,1,Messen,Testsband,-> todo,600,10,0.2
2,1,Schnitt,Stein,-> tbd,90,1,0.0
2,1,Messen,Testsband,-> todo,600,10,0.2
3,20,Schnitt,Aluminium,30,35,11,0.2
3,1,Messen,Trainingsband,-> todo,600,10,0.2
3,20,Schnitt,Aluminium,60,50,16,0.3
3,1,Messen,Trainingsband,-> todo,600,10,0.2
3,20,Schnitt,Edelstahl,60,35,11,0.2
3,1,Messen,Testsband,-> todo,600,10,0.2
3,1,Schnitt,Stein,-> tbd,90,1,0.0
3,1,Messen,Testsband,-> todo,600,10,0.2
4,20,Schnitt,Aluminium,30,35,11,0.2
4,1,Messen,Trainingsband,-> todo,600,10,0.2
4,20,Schnitt,Aluminium,60,50,16,0.3
4,1,Messen,Trainingsband,-> todo,600,10,0.2
4,20,Schnitt,Edelstahl,60,35,11,0.2
4,1,Messen,Testsband,-> todo,600,10,0.2
4,1,Schnitt,Stein,-> tbd,90,1,0.0
4,1,Messen,Testsband,-> todo,600,10,0.2
5,20,Schnitt,Aluminium,30,35,11,0.2
5,1,Messen,Trainingsband,-> todo,600,10,0.2
5,20,Schnitt,Aluminium,60,50,16,0.3
5,1,Messen,Trainingsband,-> todo,600,10,0.2
5,20,Schnitt,Edelstahl,60,35,11,0.2
5,1,Messen,Testsband,-> todo,600,10,0.2
5,1,Schnitt,Stein,-> tbd,90,1,0.0
5,1,Messen,Testsband,-> todo,600,10,0.2
